date,rainfall,average flow,max flow,min flow,fe flow
1/24/2017,0,13.29,16.8,10.5,12.05
1/24/2018,0.4,22.37,44.5,11.56,20.82
1/24/2019,0,13.58,18.25,8.7,12.77
1/24/2020,0.64,22.84,37.34,9.08,20.78
1/24/2021,0.25,13.24,17.74,9.31,12.4
1/24/2022,0,13.35,16.69,10.23,11.96
1/24/2023,0,13.04,16.34,9.46,10.21
1/24/2024,0.62,19.97,38.26,10.07,17.33
1/24/2025,,,,,
1/25/2015,0,11.74,29.83,6.65,10.71
1/25/2016,0,15.78,27.72,8.9,13.86
1/25/2017,0,13.05,18.17,10,11.7
1/25/2018,0.43,18.78,34.45,11.59,18.27
1/25/2019,0.01,12.56,17.02,7.35,11.88
1/25/2020,0.54,21.85,30.14,11.42,20.03
1/25/2021,0.05,12.35,15.64,6.71,11.57
1/25/2022,0,13.05,20.07,4.4,11.71
1/25/2023,0,12.76,16.22,8.65,10.56
1/25/2024,0.14,17.61,35.38,5.32,15.55
1/25/2025,,,,,
1/26/2015,0,12.73,17.45,6.04,10.94
1/26/2016,0.02,16.82,21.03,12.86,14.66
1/26/2017,0,12.71,16.58,9.92,11.47
1/26/2018,0.8,21.67,35.44,11,19.83
1/26/2019,0,11.9,18.89,4.13,11.33
1/26/2020,0.3,19.11,29.65,8.77,17.39
1/26/2021,0.02,12.15,20.67,9.15,11.67
1/26/2022,0,12.81,15.55,9.72,11.46
1/26/2023,0.02,12.93,32.04,4.93,11.13
1/26/2024,0.53,20.07,34.86,7.53,16.73
1/26/2025,,,,,
1/27/2015,0,12.07,16.03,10.96,10.81
1/27/2016,0.91,17.99,30.16,8.65,16.16
1/27/2017,0,11.82,15.48,8.18,11
1/27/2018,0.41,20.69,26.03,8.32,19.88
1/27/2019,0,11.97,19.13,6.28,11.17
1/27/2020,1.45,24.13,56.94,10.85,20.72
1/27/2021,0.31,12.72,19.08,7.79,11.86
1/27/2022,0,12.39,14.26,9.03,11.1
1/27/2023,0,12.13,16.59,7.65,10.42
1/27/2024,0.7,23.5,35.49,12.81,19.79
1/27/2025,,,,,
1/28/2015,0.01,10.55,15.13,0,9.31
1/28/2016,0.99,25.05,41.54,15.48,23.7
1/28/2017,0,11.94,14.96,8.11,10.9
1/28/2018,0.18,18.43,28.04,8.9,17.81
1/28/2019,0,11.47,16.69,6.07,10.94
1/28/2020,0.17,23.62,50.27,11.79,22.67
1/28/2021,0.04,12.18,16.84,9.2,11.44
1/28/2022,0.01,11.89,17.54,3.52,10.97
1/28/2023,0.1,12.56,19.02,6.12,10.61
1/28/2024,0.23,22.43,36.73,9.76,17.79
1/28/2025,,,,,
1/29/2015,0,11.65,15.17,6.23,10.41
1/29/2016,0.56,20.44,43.01,12.25,19.39
1/29/2017,0.01,11.97,14.75,7.73,11.12
1/29/2018,0.89,21.74,45.65,5.12,19.67
1/29/2019,0,11.27,15.4,4.14,10.64
1/29/2020,0.62,22.29,37.32,10.93,21.09
1/29/2021,0.07,11.8,16.53,9.05,11.14
1/29/2022,0.01,11.43,14.62,6.82,10.79
1/29/2023,0,12.5,15.71,7.11,10.83
1/29/2024,0,20.92,40.69,7.28,15.23
1/29/2025,,,,,
1/3/2015,0,11.03,15.19,5.56,9.8
1/3/2016,0,11.81,15.49,7.41,10.99
1/3/2017,0,12.73,18.13,9.02,11.27
1/3/2018,0,13.55,24.41,0.16,12.71
1/3/2019,0.77,14.07,30.15,6.79,11.92
1/3/2020,0.43,16.34,28.46,8.28,15.04
1/3/2021,0.53,27.97,41.85,20.98,27.75
1/3/2022,0.82,28.42,54.43,19.99,26.24
1/3/2023,0.05,15.71,19.52,12.14,13.16
1/3/2024,0.05,12.07,19.18,4.94,11.08
1/3/2025,,,,,
1/30/2015,0,10.47,11.49,3.87,9.47
1/30/2016,0.08,17.49,29.93,11.71,16.73
1/30/2017,0,12.51,17.33,6.92,10.9
1/30/2018,0.07,18.21,28.02,11.7,17.69
1/30/2019,0,11.3,16.22,3.75,10.67
1/30/2020,0.53,20.35,30.47,10.97,19.11
1/30/2021,0.38,13.12,23.97,7.78,12.63
1/30/2022,0.35,13.93,29.03,5.62,13.13
1/30/2023,0,12.19,19.5,3.3,10.43
1/30/2024,0.1,18.23,36.23,5.68,14.51
1/30/2025,,,,,
1/31/2015,0,10.47,16.07,6.53,9.48
1/31/2016,0.01,15.75,29.4,9.92,14.96
1/31/2017,0,12.69,15.82,9.25,10.95
1/31/2018,0.03,16.41,31.29,10.2,15.36
1/31/2019,0,10.22,12.49,6.36,9.68
1/31/2020,0.71,23.37,30.52,10.43,21.56
1/31/2021,0.92,17.99,31.43,8.33,17.09
1/31/2022,0.02,11.07,19.32,1.8,10.27
1/31/2023,0,12.68,27.82,4.34,11.77
1/31/2024,0.14,18.16,33.51,7.96,14.61
1/31/2025,,,,,
1/4/2015,2.16,21.22,48.77,5.75,17.59
1/4/2016,0.37,14.13,23.46,7.53,13.01
1/4/2017,0,12.69,26.34,0.02,11.07
1/4/2018,0.36,13.6,28.29,0,12.81
1/4/2019,0.8,18.27,36.17,8.15,19.34
1/4/2020,0.26,15.57,28.3,9.25,14.04
1/4/2021,0.77,27.36,34.26,21.48,26.41
1/4/2022,0.26,19.87,28.7,9.69,19.09
1/4/2023,0.08,15.54,20.02,11.08,12.91
1/4/2024,0.1,11.95,17.82,6.71,10.98
1/4/2025,,,,,
1/5/2015,0.99,27.61,42.1,12.19,26.76
1/5/2016,0.16,12.12,14.18,7.07,11.31
1/5/2017,0,12.71,16.9,9.35,11.19
1/5/2018,0.35,14.51,28.39,7.97,13.7
1/5/2019,0.18,14.27,26.46,8.91,13.65
1/5/2020,0.32,14.92,28.47,8.2,13.79
1/5/2021,0.85,23,43.69,11.7,22
1/5/2022,0.63,18.92,31.45,10.8,17.72
1/5/2023,0.09,16.5,23.76,10.66,13
1/5/2024,0.42,12.73,28.66,4.02,11.64
1/5/2025,,,,,
1/6/2015,0,17.2,21.08,11.76,16.12
1/6/2016,0.01,11.7,19.12,3.19,11.02
1/6/2017,0,12.67,16.59,9.73,11.14
1/6/2018,0,12.92,18.65,7.25,12.14
1/6/2019,0.4,15.58,27.06,9.55,15.03
1/6/2020,2.43,32.72,56.62,14.75,29
